mp_id,oxidation_states,entry_type
mp-1016652,{},GGA
mp-1016820,"{'Mg': 2.0, 'Sn': 4.0, 'O': -2.0}",GGA
mp-1016821,"{'Ba': 2.0, 'Si': 4.0, 'O': -2.0}",GGA
mp-1016830,"{'Mg': 2.0, 'Ti': 4.0, 'O': -2.0}",GGA
mp-1016833,"{'Ca': 2.0, 'Rh': 4.0, 'O': -2.0}",GGA
mp-1016835,"{'Ca': 2.0, 'Ru': 4.0, 'O': -2.0}",GGA
mp-1016846,"{'Ti': 4.0, 'Cd': 2.0, 'O': -2.0}",GGA
mp-1016853,"{'Ca': 2.0, 'V': 4.0, 'O': -2.0}",GGA+U
mp-1016872,"{'Ca': 2.0, 'Ir': 4.0, 'O': -2.0}",GGA
mp-1016873,"{'Ca': 2.0, 'Hf': 4.0, 'O': -2.0}",GGA
mp-1016876,"{'Zn': 2.0, 'Si': 4.0, 'O': -2.0}",GGA
mp-1016881,"{'Cd': 2.0, 'Sn': 4.0, 'O': -2.0}",GGA
mp-1016886,"{'Mg': 2.0, 'V': 4.0, 'O': -2.0}",GGA+U
mp-1016900,"{'Ca': 2.0, 'Os': 4.0, 'O': -2.0}",GGA
mp-1016902,"{'Zn': 2.0, 'Sn': 4.0, 'O': -2.0}",GGA
mp-1016903,"{'Cd': 2.0, 'Ge': 4.0, 'O': -2.0}",GGA
mp-1016904,"{'V': 4.0, 'Cd': 2.0, 'O': -2.0}",GGA+U
mp-1016927,"{'Ti': 4.0, 'Zn': 2.0, 'O': -2.0}",GGA
mp-1016928,"{'Mg': 2.0, 'Si': 4.0, 'O': -2.0}",GGA
mp-1016930,"{'Zn': 2.0, 'Ge': 4.0, 'O': -2.0}",GGA
mp-1016932,"{'Mn': 4.0, 'Zn': 2.0, 'O': -2.0}",GGA+U
mp-1017097,{},GGA
mp-1017173,{},GGA
mp-1017199,{},GGA
mp-1017241,{},GGA
mp-1017347,{},GGA
mp-1017377,{},GGA
mp-1017387,{},GGA
mp-1017418,{},GGA
mp-1017427,{},GGA
mp-1017441,"{'Sr': 2.0, 'Rh': 4.0, 'O': -2.0}",GGA
mp-1017446,"{'Hf': 4.0, 'Cd': 2.0, 'O': -2.0}",GGA
mp-1017466,"{'Sr': 2.0, 'Mn': 4.0, 'O': -2.0}",GGA+U
mp-1017467,"{'Ca': 2.0, 'Mn': 4.0, 'O': -2.0}",GGA+U
mp-1017491,{},GGA
mp-10175,"{'K': 1.0, 'Cd': 2.0, 'F': -1.0}",GGA
mp-1017507,{},GGA
